id,nombre,lng,lat,altitud,corriente,zona,subzona,cenpoblado,municipio,depart,ctg,cotacero,areaaferete,maxnivel,maxcaudal,umbralsen,umbralobs,umbralpron,uroja,unaranja,uamarilla,ubajos,umaxhis,subred,en_H,en_Hsim,en_Q,en_Qsim,en_Calidad,NIVEL,CAUDAL
0029037020,CALAMAR [29037020],-74.91169444,10.25386111,8.006,MAGDALENA,Bajo Magdalena,Canal del Dique margen izquierda,CALAMAR,CALAMAR,BOLÍVAR,Limnimétrica,-0.353,256820.764824,6.08,8147.2,,,,9.853,9.353,8.853,1.12,9.5,RED NACIONAL DE CALIDAD DEL AGUA - CONVENIO CORMAGDALENA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
0029037080,GAMBOTE CANAL DEL [29037080],-75.29861111,10.16222222,4.0,CANAL DEL DIQUE,Bajo Magdalena,Canal del Dique margen derecho,ARJONA,ARJONA,BOLÍVAR,Limnimétrica,4.0,2112.79893059,6.98,517.68,,,,8.4,7.9,7.4,4.27,9.05,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
0029037340,PASACABALLOS [29037340],-75.5209,10.28333333,1.0,CANAL DEL DIQUE,Bajo Magdalena,Canal del Dique margen derecho,DISTRITO TURISTICO Y CULTURAL DE CARTAGENA DE INDIAS,CARTAGENA,BOLÍVAR,Limnimétrica,0.0,,,,,,,0.0,0.25,0.5,,,CONVENIO CORMAGDALENA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
0029037360,INKORA K-7 [29037360],-74.94655833,10.30280833,8.49,CANAL DEL DIQUE,Bajo Magdalena,Canal del Dique margen derecho,SANTA LUCIA,SANTA LUCIA,ATLANTICO,Limnigráfica,-0.36,21.7462815782,,,,,,0.0,0.25,0.5,,,CONVENIO CORMAGDALENA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
0029037370,STA HELENA 1  [29037370],-75.40277778,10.05861111,3.0,CANAL DEL DIQUE,Bajo Magdalena,Canal del Dique margen izquierda,MARIA LA BAJA,MARIA LA BAJA,BOLÍVAR,Limnimétrica,0.0,,,,,,,0.0,0.25,0.5,,,RED NACIONAL DE CALIDAD DEL AGUA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
0029037701,GUAJARO COMPUERTAS [29037701],-75.074161,10.409967,20.0,CANAL DEL DIQUE,Bajo Magdalena,Canal del Dique margen derecho,SAN CRISTOBAL,SAN CRISTOBAL,BOLÍVAR,Limnigráfica,0.0,,5.1,,,,,,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
0029037702,CAPOTE AUTOM [29037702],-75.165333,10.278444,9.0,CANAL DEL DIQUE,Bajo Magdalena,Canal del Dique margen izquierda,MAHATES,MAHATES,BOLÍVAR,Limnigráfica,0.0,,3.2,,,,,,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
0029037820,PTE CALAMAR AUTOM  [29037820],-74.91029,10.260838,6.0,CANAL DE DIQUE,Bajo Magdalena,Canal del Dique margen izquierda,,CALAMAR,BOLÍVAR,Limnimétrica,0.0,,,,,,,0.0,0.25,0.5,,,RED NACIONAL DE CALIDAD DEL AGUA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
0029045180,LAS FLORES AUTOM  [29045180],-74.81975,11.03936111,2.0,MAGDALENA,Bajo Magdalena,Directos al Bajo Magdalena entre Calamar y desembocadura al mar Caribe (mi),,BARRANQUILLA,ATLANTICO,Climática Principal,,,,,,,,0.0,0.25,0.5,,,RED NACIONAL DE CALIDAD DEL AGUA - CONVENIO CORMAGDALENA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
0029047000,TEBSA BQUILLA [29047000],-74.759889,10.936639,6.0,RIO MAGDALENA,Bajo Magdalena,Directos al Bajo Magdalena entre Calamar y desembocadura al mar Caribe (mi),,SOLEDAD,ATLANTICO,Limnigráfica,0.0,,1.21,,,,,4.0,,,0.3,1.42,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
