Station,Latitude,Longitude,COMID_v1,Bias Corrected,Corrected Variability,Corrected Correlation,Corrected KGE
Congo_congo_km1693,2.0679,21.2089,7069065,0.999703759,1.029053907,0.818559733,0.816248027
Congo_congo_km1695,2.061,21.234,7069065,0.999420765,0.922888416,0.816921287,0.801343646
Congo_congo_km1696,2.0684,21.2359,7069065,0.999366289,0.85116436,0.783964799,0.737657366
Congo_congo_km1702,2.0659,21.2846,7069044,0.999378728,0.879223819,0.79441704,0.761564212
Congo_congo_km1704,2.093,21.3,7069044,0.999291928,0.890101764,0.798647256,0.770607212
Congo_congo_km1723,2.112,21.453,7069001,0.999443622,0.868398939,0.814068889,0.772207272
Congo_congo_km1747,2.1451,21.6461,7068950,0.999511316,1.004140344,0.734818832,0.734786061
Congo_congo_km1749,2.1549,21.6661,7068950,0.99939442,0.914569485,0.631966393,0.622180631
Congo_congo_km1781,2.182,21.926,7068898,0.999346075,0.896509979,0.654847669,0.639665789
Congo_congo_km1811,2.2153,22.1731,7068845,0.997603693,0.856884576,0.529683912,0.508385324
Congo_congo_km1813,2.194,22.19,7068919,0.999259219,0.904521425,0.82656293,0.802017364
Congo_congo_km1861,2.0858,22.5701,7069119,0.999647843,1.026002343,0.730565036,0.729313012
Congo_congo_km1863,2.0777,22.5844,7069119,0.999357838,0.905999976,0.730705835,0.714770682
Congo_congo_km1877,2.001,22.685,7069195,0.999451888,0.925683269,0.830807198,0.815204217
Congo_congo_km1898,1.918,22.848,7069341,0.99933399,0.969285988,0.826902704,0.824197646
Congo_congo_km1924,1.8566,23.0311,7069462,0.999887474,1.031373036,0.790627872,0.788290369
Congo_congo_km1952,1.6534,23.1593,7069875,0.999740337,1.038766488,0.820371396,0.816235631
Congo_congo_km1992,1.4209,23.3999,7070200,0.999446359,1.130817237,0.750261922,0.718073479
Congo_congo_km2001,1.364,23.445,7070435,0.999470914,0.904218008,0.82206552,0.797922913
Congo_congo_km2024,1.227,23.574,7070503,0.999425109,0.836314432,0.772769802,0.719952042
Congo_congo_km2050,1.1116,23.7465,7070890,0.999485929,0.991467103,0.709029188,0.708903644
Congo_congo_km2053,1.1039,23.7761,7070890,0.999596172,0.933181444,0.814266687,0.802612701
Congo_congo_km2054,1.103,23.781,7070890,0.999437124,0.886322096,0.845121097,0.807879055
Congo_congo_km2056,1.1026,23.7954,7070890,1.000018573,1.075742839,0.719521435,0.709474264
Congo_congo_km2092,0.99,24.081,7070890,0.999209497,0.99996004,0.797790808,0.797789259
Congo_congo_km2113,0.8623,24.2069,7071113,0.999604547,1.101062489,0.830297535,0.802483646
Congo_congo_km2128,0.7731,24.3031,7071203,1.000078381,1.186098712,0.877697311,0.77731034
Congo_congo_km2140,0.75,24.397,7071205,0.999191853,1.003914292,0.744522624,0.744491362
Congo_congo_km2161,0.7241,24.5591,7071315,0.999641273,0.933986403,0.776793659,0.767236183
Congo_congo_km2172,0.6551,24.6329,7071486,1.00017221,1.13362692,0.666060658,0.640317268
Congo_congo_km2183,0.609,24.716,7071486,0.998859816,0.87249198,0.762207886,0.730176568
Congo_congo_km2195,0.5771,24.8081,7071502,0.999241185,0.992606662,0.59366646,0.593598495
Congo_congo_km2270,0.356,25.379,7071847,0.999149202,0.98094705,0.774518199,0.773713055
Congo_congo-Trib-02_km0964,-1.2394,16.7951,7074225,0.99931071,0.893289769,0.836794279,0.805003447
Congo_couyo_km1059,-0.742,16.515,7073469,0.999010426,0.881183753,0.707456649,0.684247103
Congo_couyo_km1126,-0.651,16.083,7073310,0.998758695,0.816016664,0.636491668,0.592581645
Congo_cugo_km1625,-7.6332,16.816,7082115,1.000110007,0.836364774,0.741638445,0.694177842
Congo_cugo_km1651,-7.5367,16.7329,7082089,1.000040392,0.836160488,0.813254643,0.751570502
Congo_cuilo_km1307,-5.8886,16.4228,7080226,1.000016804,0.820710476,0.649782072,0.60655708
Congo_dja_km1551,1.9374,15.6244,7069287,0.99928919,1.065992774,0.928584096,0.902759151
Congo_dja_km1557,1.9489,15.5686,7069287,1.000040205,1.017623001,0.944543315,0.941810519
Congo_dja_km1629,2.0104,15.1409,7069203,0.999474693,0.940830334,0.769696301,0.762216234
Congo_dja_km1632,2.0091,15.1143,7069203,0.999596566,0.865742702,0.828944265,0.782548282
Congo_dja_km1660,2.005,14.963,7069178,0.998654451,0.891747166,0.83977495,0.806628458
Congo_dja_km1729,2.1363,14.6751,7069004,1.00058121,1.203989923,0.937788532,0.786733751
Congo_dja_km1733,2.1314,14.6464,7069004,1.000088176,0.973963913,0.896472984,0.893249221
Congo_dja_km1737,2.1604,14.6399,7069004,1.000072559,1.059228623,0.886800588,0.872241861
Congo_dja_km1828,2.3494,14.2549,7068640,0.999916597,1.067360203,0.778277432,0.768271061
Congo_dja_km1914,2.849,14.0196,7067826,0.999950637,1.01337649,0.623895531,0.62365773
Congo_dja_km1932,2.8831,13.9057,7067826,1.000265967,1.31524127,0.879680486,0.662577543
Congo_dja_km1988,2.847,13.5524,7067923,1.000035233,1.307140289,0.835617955,0.651637237
Congo_dja_km2020,2.7945,13.4189,7067926,0.999969837,1.028164591,0.700160122,0.698840245
Congo_dja_km2091,2.8581,13.0831,7067791,1.000571503,1.131514286,0.885402814,0.825561331
Congo_dja_km2097,2.8504,13.0619,7067834,0.999421039,1.152278229,0.716242399,0.677963713
Congo_dja_km2115,2.8659,12.9667,7067766,1.000383744,1.289732841,0.752662168,0.619052143
Congo_dja_km2179,3.0254,12.5781,7067504,1.000269487,1.262825646,0.753445,0.639629689
